id,nome,cpf,email,telefone,endereco,data_nascimento,profissao,salario,estado_civil
118,Daniel Araújo,379.562.401-07,da-costaleticia@correia.com,21 4341 2073,"Residencial Maria Vitória Monteiro, Nossa Senhora De Fátima, 31729233 da Conceição de Rodrigues / AM",1999-07-25,Militar da Marinha,10770,Viúvo
119,Lucca Moura,210.864.957-30,calebe79@jesus.com,+55 (041) 3201 8215,"Praça Sales, Graça, 37327027 Fogaça do Amparo / PI",1993-07-11,Tosador,28413,Divorciado
120,Maria Sophia Ramos,203.458.976-92,ana-beatrizjesus@duarte.br,+55 21 7641-1705,"Residencial Juan da Rocha, 907, São Tomaz, 25537225 Duarte / RS",1993-08-19,Tecnólogo em rochas ornamentais,74061,Solteiro
121,Breno Azevedo,321.764.859-55,mrocha@yahoo.com.br,+55 (084) 1629-2033,"Trevo Oliveira, 6, Conjunto Bonsucesso, 72519-319 Cardoso de da Paz / BA",2004-06-18,Peão de rodeiro,11561,Solteiro
122,Vitória Martins,174.308.926-04,ipinto@ig.com.br,+55 (084) 1246-1366,"Trevo Silveira, 773, União, 39879-901 Caldeira / AL",1949-04-29,Odontologista legal,67349,Solteiro
123,Esther da Luz,546.172.980-02,kaiquenogueira@bol.com.br,81 6842-0155,"Trevo Duarte, 17, Lagoa, 16297-863 Alves de Aragão / MS",1956-12-29,Quadrinista,12517,Divorciado
124,Sr. Benjamin Barros,912.804.763-03,ana-juliaoliveira@uol.com.br,71 8481-7470,"Trevo de Martins, 99, Vila Barragem Santa Lúcia, 90066-582 Lima / CE",1973-05-01,Microfonista,19557,Divorciado
125,Dra. Julia Souza,658.794.230-00,maria76@oliveira.net,+55 (021) 1108 2324,"Recanto de Correia, Vila Vista Alegre, 49756628 das Neves / TO",1960-04-08,Técnico em higiene dentária,920,Viúvo
126,Sr. Heitor Cavalcanti,803.967.254-65,efarias@martins.com,84 8565 7019,"Trecho Maria Sophia Melo, Vila Califórnia, 85163078 Nunes da Mata / MS",1960-02-07,Engenheiro de petróleo,63472,Divorciado
127,Leonardo Campos,758.326.014-08,qpinto@uol.com.br,+55 (061) 0692-9561,"Alameda de da Rocha, 24, Vila São Gabriel, 00406-999 Peixoto / RR",1958-08-07,Profissional de rádio e tv,82167,Divorciado
128,Isadora Viana,284.653.079-38,gomesraul@caldeira.com,+55 41 0000 3586,"Conjunto Rafaela Ferreira, 67, Pindorama, 98105-512 da Luz Verde / ES",1960-08-23,Biotecnólogo,87787,Viúvo
129,Sophia Azevedo,290.438.715-32,xcostela@hotmail.com,81 6778 1361,"Distrito Catarina Lima, 17, Vila São Gabriel Jacui, 61393-007 Peixoto das Flores / PB",1943-03-31,Parteira tradicional,29071,Viúvo
