id,nome,cpf,email,telefone,endereco,data_nascimento,profissao,salario,estado_civil
39,Ryan Ribeiro,340.879.612-22,gabriela74@example.com,+55 (071) 2781 1276,"Colônia Ana Carolina Almeida, Vila Bandeirantes, 60145-356 Gonçalves do Norte / MA",1938-04-18,Massagista,1066.5,Casado(a)
40,Luigi Vargas,270.931.658-77,pimentabento@example.org,+55 (011) 4767 8864,"Alameda Porto, São Jorge 1ª Seção, 48136612 Cavalcanti da Serra / SE",1950-11-14,Gestor de qualidade,3333.0,Viúvo(a)
41,Fernanda Nascimento,985.314.706-84,breno42@example.net,81 5084-1221,"Trecho de Marques, 15, Goiania, 18868-926 Azevedo / PE",1990-08-10,Astrólogo,5397.0,Viúvo(a)
42,Alexia Cassiano,672.593.480-38,lucas-gabriel32@example.com,+55 41 6692 3101,"Quadra da Rosa, 34, Vila Boa Vista, 84216986 da Rosa / SP",1951-12-16,Urbanista,14088.0,Casado(a)
43,Thomas Costa,157.960.384-00,nataliafogaca@example.com,0500 015 1689,"Vereda de da Costa, Paquetá, 62989-241 Machado / RO",1960-10-07,Engenheiro de produto ou produção,3819.0,Casado(a)
44,Aylla Nascimento,517.682.409-49,galmeida@example.net,(061) 1262-4339,"Recanto Correia, 3, Vista Alegre, 63616-726 Cardoso de Minas / RN",1950-11-18,Investigador particular,10282.5,Casado(a)
45,Benjamin Ramos,094.687.152-30,aparecidabruno@example.com,+55 51 0454 4088,"Viaduto de Monteiro, 40, Nova Cachoeirinha, 20180997 Silveira do Oeste / TO",1957-03-01,Brigadeiro,9969.0,Casado(a)
46,Camila Rocha,150.724.869-58,davi-luccacaldeira@example.org,0900-582-3917,"Distrito de Fernandes, 94, Urca, 46838-543 Rodrigues / SE",1948-12-09,Síndico,7546.5,Viúvo(a)
47,Augusto Gonçalves,056.432.791-34,da-rochaalana@example.org,(081) 3847-0704,"Trecho de Fonseca, 61, Marieta 3ª Seção, 76275290 Guerra / PI",1938-07-18,Catador de carangueijos,7096.5,Viúvo(a)
48,Sophie Martins,423.105.768-08,theo52@example.org,71 5667-4932,"Pátio Aparecida, São Gabriel, 78052532 Silva / PI",1959-04-14,Mecânico,6642.0,Viúvo(a)
49,Elisa Ferreira,957.428.361-55,portoarthur-gabriel@example.net,+55 (041) 2842-9177,"Campo Costela, 58, Jardim Leblon, 72268327 Pacheco das Pedras / MS",1962-03-16,Astronauta,6286.5,Casado(a)
50,Davi Melo,428.071.639-04,peixotomaysa@example.net,(061) 0788 9938,"Rodovia de Dias, 27, Camponesa 1ª Seção, 44261-704 Novais / RO",1969-08-01,Ferroviário,14460.0,Solteiro(a)
51,Mariane Dias,742.350.916-70,pintomirella@example.com,+55 (084) 6898-7987,"Sítio Cavalcanti, 6, São Jorge 2ª Seção, 11524428 Correia / RO",1966-03-19,Segurança particular,1569.0,Divorciado(a)
52,Marcelo Gonçalves,536.470.918-39,hnovaes@example.net,(011) 1012-4950,"Setor de Abreu, 60, Distrito Industrial Do Jatoba, 27036-595 Pinto do Sul / MG",1939-11-01,Médico,511.5,Casado(a)
53,Jade Fernandes,630.954.817-48,vasconcelosmilena@example.com,+55 11 9341-9529,"Vila Melina Siqueira, 62, Vila Nova Cachoeirinha 1ª Seção, 73225-794 Costa de Cunha / PB",2002-11-06,Metalúrgico,7006.5,Casado(a)
54,Marcos Vinicius Pires,729.638.105-12,silveirapedro@example.net,+55 11 2022 7853,"Favela Francisco Souza, São Benedito, 38521194 Cardoso / PE",1941-08-17,Armador,10891.5,Casado(a)
55,Miguel Câmara,036.874.529-56,qgarcia@example.com,(081) 0578 2904,"Viela de Alves, 44, Conjunto Novo Dom Bosco, 99957-401 Ferreira / RS",2002-08-28,Numerólogo,11118.0,Viúvo(a)
56,Mariane Pinto,749.512.068-11,silveiraisabela@example.org,+55 81 4877 4244,"Jardim da Cunha, 1, Nossa Senhora Da Aparecida, 72204-205 Aparecida da Praia / PA",1953-01-13,Limpador de vidros,469.5,Casado(a)
57,Laís Costela,927.386.415-55,carlos-eduardo84@example.org,(031) 6846-9386,"Rodovia de Casa Grande, 82, Califórnia, 57321-465 Siqueira da Prata / AC",2006-03-05,Mãe social,9166.5,Casado(a)
58,Davi Miguel Macedo,109.427.586-76,rjesus@example.org,41 8256-7491,"Parque Rocha, 501, Goiania, 79821-141 Moura / PB",1970-12-12,Cientista político,10197.0,Viúvo(a)
59,Augusto Andrade,743.815.062-35,luarada-cunha@example.com,+55 61 6777-2910,"Morro Rodrigo Duarte, 69, Estrela Do Oriente, 84667-977 Vasconcelos / PR",1994-08-01,Mestre-de-obras,10038.0,Viúvo(a)
60,Théo Cardoso,260.198.437-69,limafernando@example.com,(051) 3778-3536,"Rua de Duarte, 8, Vila Califórnia, 89850380 Novais do Oeste / MA",1945-08-16,Seringueiro,13288.5,Divorciado(a)
61,Caroline Gomes,823.690.145-98,otavio29@example.org,+55 61 5443-2440,"Largo de Rezende, 67, São Benedito, 64749-321 Cirino / PE",1978-05-26,Cinegrafista,2949.0,Divorciado(a)
62,Marina da Costa,310.928.475-88,novaesmaria-fernanda@example.com,41 8523 9910,"Passarela de Aparecida, 56, Outro, 58367-433 Novaes do Campo / PA",1999-12-16,Conferente de expedição,6507.0,Solteiro(a)
63,Kamilly da Cruz,197.603.482-50,correiaisaque@example.com,+55 (081) 5998-1330,"Ladeira da Cunha, 14, Esperança, 75907231 Moreira do Amparo / SP",1988-07-06,Engenheiro elétrico,14715.0,Divorciado(a)
64,Sra. Juliana Ferreira,541.926.380-70,gsilveira@example.com,+55 71 6556-8155,"Via Davi Alves, 21, Horto, 93500-189 Machado / SE",1940-07-25,Operador de bombas,3069.0,Divorciado(a)
65,Benicio Nogueira,460.927.581-30,piresgael@example.org,+55 (084) 4042-0329,"Largo de da Rocha, Vila Boa Vista, 47850-836 Alves / RN",1996-12-02,Coreógrafo,12351.0,Viúvo(a)
66,Alice Sousa,708.643.519-84,davi-luiz08@example.net,+55 81 1448 5072,"Recanto Melo, Caetano Furquim, 18732868 da Cunha do Amparo / PA",1970-05-13,Senador,14814.0,Viúvo(a)
67,Gael Henrique Moura,609.827.314-69,uporto@example.org,+55 (051) 7355 7114,"Residencial de Campos, 785, Estrela, 80430789 Cassiano do Amparo / GO",1957-06-06,Bailarina,3567.0,Divorciado(a)
68,Léo Pastor,816.523.047-62,vcavalcante@example.com,+55 (071) 2091 4279,"Estrada Fonseca, Ouro Preto, 59170-584 Barros / PA",1945-11-19,Metalúrgico,3031.5,Divorciado(a)
69,Lucas Gabriel Machado,321.798.564-82,fernandesantonella@example.com,11 1233-8107,"Alameda de Correia, 22, Novo Tupi, 33259764 Porto do Oeste / AL",2005-01-26,Eletricista de automóveis,5385.0,Divorciado(a)
70,Sarah Rodrigues,792.304.816-96,ana-laura36@example.org,(061) 0098-0158,"Jardim de Lima, 17, Flavio De Oliveira, 43387-343 Duarte dos Dourados / RJ",1964-03-11,Fresador,12372.0,Divorciado(a)
71,Ana Laura Cunha,916.385.724-37,nina06@example.org,(021) 5644-7444,"Conjunto de da Paz, 57, Urca, 21969583 Garcia / RO",2001-09-15,Acompanhante,4159.5,Solteiro(a)
72,Larissa Peixoto,230.415.876-53,lsilva@example.com,(021) 2397 7012,"Distrito Fogaça, 537, Marilandia, 11207924 Montenegro de da Conceição / GO",2003-02-13,Engenheiro civil,13992.0,Divorciado(a)
73,Otávio Barbosa,693.504.827-38,hbarros@example.com,+55 (071) 3805-4391,"Condomínio Isadora Nogueira, 44, Pongelupe, 78695998 Gomes de Moraes / MG",1952-08-06,Coronel,3142.5,Solteiro(a)
74,Srta. Maria Isis Oliveira,529.374.608-10,jose-pedro08@example.net,11 3909-9626,"Ladeira Jade Peixoto, 86, Jardim Leblon, 92616375 da Luz das Flores / MS",1942-03-10,Patinador,6073.5,Viúvo(a)
75,Dr. Asafe Cardoso,890.261.743-22,correiafelipe@example.com,81 3483 0613,"Favela Gonçalves, 6, João Alfredo, 70869-920 Moura Grande / RN",2003-11-29,Contábil,9838.5,Casado(a)
76,Maria Sophia Barbosa,193.705.628-77,rochajulia@example.net,+55 (011) 5015-2371,"Praça Raquel Melo, 272, Vila Paraíso, 69079-551 Cavalcanti / AM",1978-11-15,Toxicologista,14200.5,Viúvo(a)
77,Vicente Carvalho,536.720.498-83,henriquesilveira@example.org,(051) 4984-1781,"Lago de da Mota, 68, Novo Glória, 21068486 Melo Verde / SP",1972-09-10,Camelô,5439.0,Solteiro(a)
78,Srta. Valentina Fernandes,738.146.952-91,luan76@example.net,84 6313-6535,"Favela Matheus Nogueira, 1, Vila Betânia, 25047-564 da Cunha de Vieira / SC",1963-08-19,Assessor parlamentar,7597.5,Solteiro(a)
79,Nathan da Rosa,893.512.764-73,isis34@example.org,11 7862-6101,"Vale Emanuelly Fogaça, 72, Coração Eucarístico, 90137-597 da Rocha Paulista / MA",1995-09-27,Co-piloto,12820.5,Viúvo(a)
80,Dr. Caleb Macedo,264.310.897-31,zcavalcanti@example.org,(051) 9025 7236,"Aeroporto Ryan da Paz, 8, Caiçara - Adelaide, 75588389 da Rocha do Oeste / CE",1982-07-19,Tecnólogo em recursos pesqueiros,1546.5,Casado(a)
81,Srta. Sophie Costela,312.798.560-68,antonio31@example.net,51 2482 4952,"Viela Sampaio, 22, Horto, 04457-684 Brito / AL",1986-05-30,Ombudsman,9681.0,Solteiro(a)
82,Dr. Raul Santos,935.104.862-42,gustavo-henrique79@example.net,84 5119 7466,"Viaduto de Novaes, 20, Floresta, 34457614 Aparecida / TO",1949-05-15,Profissional de tecnologia de laticínios,1375.5,Solteiro(a)
83,Gael Pastor,425.986.073-92,maria-luisa23@example.com,+55 (081) 8954-0258,"Viela Gael Henrique Jesus, Mangabeiras, 57101413 Moura de Ramos / SC",1936-11-04,Telefonista,6580.5,Viúvo(a)
84,Thales da Luz,931.504.278-60,bda-conceicao@example.net,0500 426 1678,"Ladeira Marcos Vinicius Oliveira, 55, Minas Caixa, 71719185 Moura Paulista / RO",1964-02-29,Continuista,1693.5,Solteiro(a)
85,Dr. Vinicius Mendonça,720.854.193-05,calebelopes@example.org,+55 (051) 8400 1127,"Aeroporto Heloisa Costa, 73, Mirante, 28201830 Nogueira / SP",1984-06-23,Consultor de radiestesia,10864.5,Viúvo(a)
86,Vitor Gabriel Jesus,098.274.153-79,cpimenta@example.net,+55 61 7817 1595,"Ladeira Pedro Duarte, 3, Conjunto Santa Maria, 47794412 Dias / ES",2007-07-29,Ceramista,9234.0,Viúvo(a)
87,Carlos Eduardo Cavalcanti,759.423.086-83,pereirajoao-vitor@example.net,+55 (041) 6536 2930,"Praça Aylla Duarte, 11, Conjunto Floramar, 97925306 Pinto / MT",1937-10-07,Flanelinha,10092.0,Divorciado(a)
88,Luiz Felipe Novais,618.793.024-03,emanuelly53@example.net,51 4894 2154,"Campo de Pinto, 29, Vila Santa Monica 2ª Seção, 01634-952 Sales / PI",2002-03-17,Co-piloto,6529.5,Viúvo(a)
89,Maya da Cunha,174.538.960-10,oda-conceicao@example.net,+55 (081) 8569-7734,"Praia Luan Pinto, 19, Serra Verde, 34524827 Pacheco / MG",1991-07-04,Odontopediatra,9231.0,Divorciado(a)
90,Sr. Gael Henrique da Costa,482.093.567-47,cirinoluiz-felipe@example.org,0300-387-8682,"Viaduto de Correia, Diamante, 77331694 Garcia / ES",1992-12-08,Designer de interiores,363.0,Casado(a)
91,Vitória Guerra,916.237.485-00,asafemachado@example.net,(031) 0521-2968,"Distrito Pinto, 111, Universitário, 99690-951 Oliveira de Viana / RR",1993-07-17,Lanterneiro,1234.5,Casado(a)
92,Mirella Rezende,165.947.382-91,moraescarlos-eduardo@example.org,61 7836-1274,"Trevo Gustavo Cavalcanti, 334, Santa Sofia, 77916889 Sampaio / PA",1964-04-23,Windsurfer,11434.5,Solteiro(a)
93,José Miguel da Cruz,139.250.847-97,mcaldeira@example.com,51 1645 7724,"Travessa de Montenegro, 96, Lagoinha, 04040638 Mendes de Almeida / PI",1981-11-06,Desenhista,6609.0,Viúvo(a)
94,Francisco Dias,956.231.807-95,ceciliaduarte@example.org,+55 (041) 9531-8692,"Travessa de Vasconcelos, Vila Da Paz, 59177-528 Mendonça / ES",1992-07-04,Engenheiro agrimensor,2712.0,Divorciado(a)
95,Dr. João Gabriel Mendes,387.245.091-32,riosheloisa@example.net,0900 929 8842,"Largo de Aparecida, 7, Morro Dos Macacos, 33722-885 Carvalho / PR",1939-12-16,Geradorista,12888.0,Viúvo(a)
96,Kaique Andrade,754.610.289-85,yjesus@example.org,(031) 6033 0090,"Viela Azevedo, 92, Ermelinda, 09118-567 Fogaça da Praia / RR",1997-05-12,Bailarina,846.0,Divorciado(a)
97,Maria Liz Cunha,162.059.438-24,fcavalcanti@example.com,81 2271 7181,"Estação da Costa, 8, Piratininga, 39994362 Rodrigues / AL",1994-06-16,Hostess,3304.5,Viúvo(a)
98,Gabrielly Fogaça,259.480.361-89,emelo@example.com,+55 (031) 9072 7139,"Estrada Freitas, 98, Flavio De Oliveira, 11912-289 Porto / RJ",1963-01-27,Imunologista,9844.5,Solteiro(a)
99,Heloísa da Paz,864.032.571-53,jnovais@example.com,71 5704 0000,"Conjunto de Correia, 3, Olhos D'água, 42961457 Moraes da Serra / DF",1977-05-29,Desenhista,6619.5,Casado(a)
100,Aurora Leão,386.217.950-86,fariasbruna@example.net,51 3508 6919,"Ladeira Brenda da Rosa, 991, Conjunto Celso Machado, 95453-350 Cassiano / AC",1941-10-21,Astrofísico,4845.0,Viúvo(a)
101,Fernanda Souza,139.276.054-25,azevedoemilly@example.net,+55 51 2574 5523,"Loteamento de Farias, 440, Estrela, 86435-140 da Rocha / RN",2005-06-02,Gerente de vendas,10093.5,Viúvo(a)
102,Dr. Yan Sales,865.410.937-84,santosmaria-luiza@example.org,+55 11 9862-3132,"Parque Rodrigo Caldeira, 704, Nossa Senhora Aparecida, 29761414 Jesus / MG",2006-04-28,Microfonista,8286.0,Solteiro(a)
103,Dra. Letícia Fernandes,528.074.361-53,isabellada-cruz@example.net,+55 21 1816-2501,"Núcleo Ana Sophia Moraes, 156, Flavio De Oliveira, 37693829 Leão Grande / RS",2004-07-07,Diretor de produção,3126.0,Viúvo(a)
104,Murilo das Neves,839.276.045-00,pedro-lucasoliveira@example.net,+55 (041) 3555 7313,"Fazenda Bento Caldeira, 51, Horto Florestal, 77907-138 Vasconcelos / MS",2006-10-18,Cartazeiro,4384.5,Casado(a)
105,João das Neves,408.359.726-74,machadoliz@example.org,51 3955 2190,"Rua de Correia, 49, Santa Inês, 78738560 Pacheco dos Dourados / DF",1997-01-06,General,405.0,Solteiro(a)
106,Davi Lucca Mendes,645.082.179-58,pastoranna-liz@example.com,+55 (081) 0992 1017,"Travessa de Ribeiro, 65, Marçola, 42365139 Leão da Prata / SP",2004-01-25,Babysitter,11140.5,Casado(a)
107,Clara Ribeiro,684.973.021-50,mendescaroline@example.org,(061) 9023-5948,"Praia de Sampaio, 17, Serra Do Curral, 74395239 Caldeira das Pedras / AC",1990-09-25,Astronauta,9108.0,Solteiro(a)
108,Lorena Campos,341.756.290-25,sabrina85@example.com,+55 11 4283 9645,"Sítio Ramos, 2, Xangri-Lá, 35464-891 Pinto da Praia / PA",1941-01-11,Chefe de cozinha,1297.5,Solteiro(a)
109,Amanda Castro,546.712.038-71,juliarezende@example.net,+55 21 3656-8044,"Residencial de Sá, 33, Miramar, 81422-247 Rios / MG",1991-12-15,Médico nuclear,2632.5,Viúvo(a)
110,Juan Alves,902.671.453-06,trezende@example.org,0900-247-2293,"Área Luiz Gustavo Porto, 9, Vila Sesc, 48975109 Brito / PA",1943-12-01,Astrólogo,2542.5,Solteiro(a)
111,Dra. Ana Júlia Moura,247.389.615-19,hsousa@example.com,0800 422 2934,"Condomínio Caldeira, 16, Coração De Jesus, 69596-078 Rocha / PI",1942-09-14,Piloto de avião,2505.0,Viúvo(a)
112,Alana Leão,964.583.027-38,camaramarina@example.net,84 5852 9841,"Esplanada Silveira, 68, Vila Nova Gameleira 3ª Seção, 53478413 da Cunha / RO",1960-06-01,Modelista,753.0,Divorciado(a)
113,Ísis Cassiano,052.386.749-29,joao-guilhermemontenegro@example.org,+55 (011) 6208 3311,"Esplanada Lima, Gutierrez, 09201116 Camargo / CE",1943-03-06,Ambulante,11980.5,Solteiro(a)
114,Luara Azevedo,275.918.036-03,josue80@example.org,(071) 1631-5229,"Loteamento Rios, 97, Salgado Filho, 70463891 Nogueira de Fernandes / RN",1946-03-11,Jogador de badminton,6531.0,Divorciado(a)
115,Bernardo Martins,903.652.147-52,lucca91@example.org,+55 11 4618-8631,"Via Abreu, 64, Vila Pinho, 47759529 Sales / MS",2003-11-26,Ourives,3883.5,Casado(a)
116,Dra. Ana Júlia Caldeira,910.236.547-25,zoe26@example.org,(061) 7193 1097,"Recanto de Dias, 24, Vera Cruz, 34259-362 Martins da Praia / RJ",2000-01-09,Tecelão,6531.0,Casado(a)
117,Ana Julia Pereira,430.175.296-06,livia99@example.org,81 2023 7546,"Chácara Machado, 60, Vila Santo Antônio Barroquinha, 90490404 Borges de Minas / DF",1961-07-04,Delegado,4926.0,Solteiro(a)
118,José Albuquerque,239.854.107-04,luiz-felipesantos@example.org,(051) 7452 9754,"Setor Rocha, 943, Nossa Senhora Aparecida, 51876444 Teixeira Paulista / RR",2003-02-23,Barbeiro,13456.5,Divorciado(a)
119,Henry Gabriel Silva,659.241.038-89,sophia81@example.com,+55 71 3712-8934,"Rua de Mendonça, 4, Copacabana, 92987426 Gomes do Galho / SP",1973-01-07,Torneiro mecânico,14032.5,Casado(a)
120,Anna Liz Mendonça,628.974.135-73,nicolas05@example.com,(084) 8337 3936,"Passarela Martins, 5, Trevo, 01879-414 Nogueira / RS",1951-03-18,Garimpeiro,6406.5,Casado(a)
121,Arthur Miguel Macedo,865.093.712-86,vargasluiz-otavio@example.net,+55 (031) 5474-2220,"Chácara Porto, 55, Vila Ipiranga, 01333970 Barros Verde / PE",1951-11-06,DJ,13822.5,Viúvo(a)
122,Maria Isis Cavalcanti,169.503.284-51,vmonteiro@example.com,+55 (061) 4885-8982,"Ladeira de Mendes, 37, Novo Das Industrias, 62842386 Pacheco / RN",1958-09-09,Odontologista preventivo e social,8280.0,Casado(a)
123,Dr. Rael Azevedo,683.107.924-50,nandrade@example.com,0300 926 5779,"Trevo Jesus, 61, Novo Ouro Preto, 02985815 Azevedo / RS",2001-06-18,Peixeiro,10216.5,Solteiro(a)
124,Alexia Fonseca,740.321.986-40,limagael-henrique@example.com,(071) 3970 8335,"Viela Souza, 4, Itaipu, 03127327 Pimenta Paulista / RJ",2002-05-04,Engenheiro mecânico,4708.5,Casado(a)
125,Fernanda Sampaio,067.145.389-01,josuenovaes@example.net,+55 11 5341 1655,"Recanto Maria Fernanda Cunha, 10, Nossa Senhora De Fátima, 44331-305 Montenegro / RN",2004-06-30,Clap loader,6588.0,Casado(a)
126,Bryan Silva,519.076.482-67,kfonseca@example.com,+55 11 5748-8407,"Praça de Caldeira, 237, Bom Jesus, 54316790 Pereira / AL",1955-12-15,Plastimodelista,4824.0,Viúvo(a)
127,Ana Carolina Machado,612.934.780-40,maria-luisa86@example.net,0500-965-3136,"Condomínio de Jesus, 2, São Sebastião, 02205283 Rocha do Campo / PB",2005-11-06,Representante comercial,2160.0,Casado(a)
